,intercept,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race,sex,priors_count,c_charge_degree,two_year_recid
0,1.0,0.0,0.0,1.0,1,1.0,-0.2997756091844715,0.0,1
1,1.0,1.0,0.0,0.0,0,1.0,-0.5048852365212151,1.0,1
2,1.0,0.0,0.0,1.0,1,0.0,-0.7099948638579587,0.0,1
3,1.0,1.0,0.0,0.0,1,1.0,-0.5048852365212151,1.0,0
4,1.0,0.0,0.0,1.0,0,1.0,-0.5048852365212151,1.0,1
5,1.0,0.0,1.0,0.0,0,0.0,-0.7099948638579587,1.0,0
6,1.0,0.0,0.0,1.0,0,0.0,-0.7099948638579587,0.0,1
7,1.0,0.0,1.0,0.0,0,1.0,4.0075265648871445,0.0,1
8,1.0,1.0,0.0,0.0,0,0.0,-0.7099948638579587,0.0,0
9,1.0,1.0,0.0,0.0,1,1.0,1.5462110368462212,0.0,0
10,1.0,1.0,0.0,0.0,0,1.0,0.1104436454890157,0.0,1
11,1.0,1.0,0.0,0.0,0,1.0,-0.7099948638579587,0.0,1
12,1.0,1.0,0.0,0.0,0,1.0,3.5973073102136577,0.0,1
13,1.0,1.0,0.0,0.0,1,1.0,0.7257725274992466,1.0,1
14,1.0,0.0,1.0,0.0,1,0.0,-0.2997756091844715,0.0,0
15,1.0,0.0,1.0,0.0,1,1.0,-0.7099948638579587,1.0,0
16,1.0,1.0,0.0,0.0,0,1.0,-0.2997756091844715,0.0,1
17,1.0,0.0,0.0,1.0,0,1.0,-0.5048852365212151,0.0,1
18,1.0,1.0,0.0,0.0,0,1.0,3.18708805554017,0.0,1
19,1.0,1.0,0.0,0.0,1,0.0,-0.2997756091844715,0.0,0
20,1.0,0.0,1.0,0.0,1,1.0,-0.5048852365212151,0.0,0
21,1.0,1.0,0.0,0.0,1,1.0,-0.7099948638579587,1.0,0
22,1.0,1.0,0.0,0.0,0,1.0,-0.7099948638579587,0.0,0
23,1.0,1.0,0.0,0.0,1,1.0,-0.7099948638579587,1.0,0
24,1.0,1.0,0.0,0.0,1,1.0,-0.7099948638579587,0.0,0
25,1.0,1.0,0.0,0.0,1,0.0,-0.5048852365212151,1.0,0
26,1.0,1.0,0.0,0.0,0,1.0,3.18708805554017,0.0,1
